index,Year, Month, Day,     Extent 10^6 sq km,    Missing 10^6 sq km, Source Data
0,1978,10,26,17.624,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.10.26/nt_19781026_n07_v1.1_s.bin']
1,1978,10,28,17.803,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.10.28/nt_19781028_n07_v1.1_s.bin']
2,1978,10,30,17.67,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.10.30/nt_19781030_n07_v1.1_s.bin']
3,1978,11,1,17.527,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.01/nt_19781101_n07_v1.1_s.bin']
4,1978,11,3,17.486,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.03/nt_19781103_n07_v1.1_s.bin']
5,1978,11,5,17.343,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.05/nt_19781105_n07_v1.1_s.bin']
6,1978,11,7,17.157,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.07/nt_19781107_n07_v1.1_s.bin']
7,1978,11,9,17.028,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.09/nt_19781109_n07_v1.1_s.bin']
8,1978,11,11,16.815,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.11/nt_19781111_n07_v1.1_s.bin']
9,1978,11,13,16.371,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.13/nt_19781113_n07_v1.1_s.bin']
10,1978,11,15,16.176,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.15/nt_19781115_n07_v1.1_s.bin']
11,1978,11,17,15.52,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.17/nt_19781117_n07_v1.1_s.bin']
12,1978,11,19,15.267,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.19/nt_19781119_n07_v1.1_s.bin']
13,1978,11,21,15.027,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.21/nt_19781121_n07_v1.1_s.bin']
14,1978,11,23,14.681,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.23/nt_19781123_n07_v1.1_s.bin']
15,1978,11,25,14.449,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.25/nt_19781125_n07_v1.1_s.bin']
16,1978,11,27,13.98,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.27/nt_19781127_n07_v1.1_s.bin']
17,1978,11,29,13.619,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.29/nt_19781129_n07_v1.1_s.bin']
18,1978,12,1,13.33,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.01/nt_19781201_n07_v1.1_s.bin']
19,1978,12,3,13.097,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.03/nt_19781203_n07_v1.1_s.bin']
20,1978,12,5,12.829,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.05/nt_19781205_n07_v1.1_s.bin']
21,1978,12,7,12.436,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.07/nt_19781207_n07_v1.1_s.bin']
22,1978,12,9,11.963,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.09/nt_19781209_n07_v1.1_s.bin']
23,1978,12,11,11.652,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.11/nt_19781211_n07_v1.1_s.bin']
24,1978,12,13,11.148,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.13/nt_19781213_n07_v1.1_s.bin']
25,1978,12,15,10.664,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.15/nt_19781215_n07_v1.1_s.bin']
26,1978,12,17,10.239,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.17/nt_19781217_n07_v1.1_s.bin']
27,1978,12,19,9.758,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.19/nt_19781219_n07_v1.1_s.bin']
28,1978,12,21,9.362,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.21/nt_19781221_n07_v1.1_s.bin']
29,1978,12,23,8.706,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.23/nt_19781223_n07_v1.1_s.bin']
30,1978,12,25,8.362,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.25/nt_19781225_n07_v1.1_s.bin']
31,1978,12,27,7.907,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.27/nt_19781227_n07_v1.1_s.bin']
32,1978,12,29,7.588,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.29/nt_19781229_n07_v1.1_s.bin']
33,1978,12,31,7.283,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.31/nt_19781231_n07_v1.1_s.bin']
34,1979,1,2,6.945,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.02/nt_19790102_n07_v1.1_s.bin']
35,1979,1,4,6.838,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.04/nt_19790104_n07_v1.1_s.bin']
36,1979,1,6,6.638,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.06/nt_19790106_n07_v1.1_s.bin']
37,1979,1,8,6.27,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.08/nt_19790108_n07_v1.1_s.bin']
38,1979,1,10,6.138,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.10/nt_19790110_n07_v1.1_s.bin']
39,1979,1,12,5.952,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.12/nt_19790112_n07_v1.1_s.bin']
40,1979,1,14,5.564,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.14/nt_19790114_n07_v1.1_s.bin']
41,1979,1,16,5.379,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.16/nt_19790116_n07_v1.1_s.bin']
42,1979,1,18,5.233,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.18/nt_19790118_n07_v1.1_s.bin']
43,1979,1,20,4.984,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.20/nt_19790120_n07_v1.1_s.bin']
44,1979,1,22,4.609,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.22/nt_19790122_n07_v1.1_s.bin']
45,1979,1,24,4.397,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.24/nt_19790124_n07_v1.1_s.bin']
46,1979,1,26,4.184,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.26/nt_19790126_n07_v1.1_s.bin']
47,1979,1,28,4.004,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.28/nt_19790128_n07_v1.1_s.bin']
48,1979,1,30,3.898,0.0, ['/ecs/DP1/PM/NSIDC-0051.001/1979.01.30/nt_19790130_n07_v1.1_s.bin']
